2024-07-11 00:10:56.008 | main                           | INFO  | o.s.data.repository.config.RepositoryConfigurationDelegate              -  Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-11 00:10:56.119 | main                           | INFO  | o.s.data.repository.config.RepositoryConfigurationDelegate              -  Finished Spring Data repository scanning in 101 ms. Found 8 JPA repository interfaces.
2024-07-11 00:10:56.983 | main                           | INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer            -  Tomcat initialized with port 8080 (http)
2024-07-11 00:10:57.000 | main                           | INFO  | org.apache.coyote.http11.Http11NioProtocol                              -  Initializing ProtocolHandler ["http-nio-8080"]
2024-07-11 00:10:57.002 | main                           | INFO  | org.apache.catalina.core.StandardService                                -  Starting service [Tomcat]
2024-07-11 00:10:57.003 | main                           | INFO  | org.apache.catalina.core.StandardEngine                                 -  Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-07-11 00:10:57.080 | main                           | INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]         -  Initializing Spring embedded WebApplicationContext
2024-07-11 00:10:57.081 | main                           | INFO  | o.s.boot.web.servlet.context.ServletWebServerApplicationContext         -  Root WebApplicationContext: initialization completed in 1882 ms
2024-07-11 00:10:57.331 | main                           | INFO  | com.zaxxer.hikari.HikariDataSource                                      -  HikariPool-1 - Starting...
2024-07-11 00:10:57.899 | main                           | INFO  | com.zaxxer.hikari.pool.HikariPool                                       -  HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@65593327
2024-07-11 00:10:57.902 | main                           | INFO  | com.zaxxer.hikari.HikariDataSource                                      -  HikariPool-1 - Start completed.
2024-07-11 00:10:58.882 | main                           | INFO  | liquibase.changelog                                                     -  Reading from garden_and_home.DATABASECHANGELOG
2024-07-11 00:10:58.981 | main                           | INFO  | liquibase.ui                                                            -  Database is up to date, no changesets to execute
2024-07-11 00:10:58.985 | main                           | INFO  | liquibase.changelog                                                     -  Reading from garden_and_home.DATABASECHANGELOG
2024-07-11 00:10:59.005 | main                           | INFO  | liquibase.util                                                          -  UPDATE SUMMARY
2024-07-11 00:10:59.005 | main                           | INFO  | liquibase.util                                                          -  Run:                          0
2024-07-11 00:10:59.005 | main                           | INFO  | liquibase.util                                                          -  Previously run:              34
2024-07-11 00:10:59.005 | main                           | INFO  | liquibase.util                                                          -  Filtered out:                 0
